"lst","num","stop_id","dia"
Moventis,1,AMB_110518,2025-10-14
Moventis,1,AMB_110519,2025-10-13
Moventis,1,AMB_110519,2025-10-14
Moventis,1,AMB_110586,2025-10-13
Moventis,1,AMB_110586,2025-10-14
DIREXIS TUSGSAL,1,AMB_110587,2025-10-13
DIREXIS TUSGSAL,1,AMB_110587,2025-10-14
DIREXIS TUSGSAL,1,AMB_110587,2025-10-15
DIREXIS TUSGSAL,1,AMB_112129,2025-10-13
DIREXIS TUSGSAL,1,AMB_112129,2025-10-14
DIREXIS TUSGSAL,1,AMB_112142,2025-10-13
DIREXIS TUSGSAL,1,AMB_112142,2025-10-14
Avanza,1,AMB_112200,2025-10-13
Avanza,1,AMB_112200,2025-10-14
Avanza,1,AMB_112200,2025-10-15
Avanza,1,AMB_112201,2025-10-13
Avanza,1,AMB_112201,2025-10-14
Avanza,1,AMB_112201,2025-10-15
Avanza,1,AMB_112216,2025-10-13
Avanza,1,AMB_112216,2025-10-14
Avanza,1,AMB_112216,2025-10-15
Moventis,1,AMB_112370,2025-10-13
Moventis,1,AMB_112370,2025-10-14
Avanza,1,AMB_112390,2025-10-13
Avanza,1,AMB_112390,2025-10-14
Avanza,1,AMB_112391,2025-10-13
Avanza,1,AMB_112391,2025-10-14
Avanza,1,AMB_112392,2025-10-13
Avanza,1,AMB_112392,2025-10-14
Moventis (Port),1,AMB_112403,2025-10-13
Moventis (Port),1,AMB_112403,2025-10-14
Moventis,1,AMB_112405,2025-10-13
Moventis,1,AMB_112405,2025-10-14
Avanza,1,AMB_112423,2025-10-13
Avanza,1,AMB_112423,2025-10-14
Avanza,1,AMB_112442,2025-10-13
Avanza,1,AMB_112442,2025-10-14
Avanza,1,AMB_112442,2025-10-15
Avanza,1,AMB_112443,2025-10-13
Avanza,1,AMB_112443,2025-10-14
Avanza,1,AMB_112443,2025-10-15
Avanza,1,AMB_112444,2025-10-13
Avanza,1,AMB_112444,2025-10-14
Avanza,1,AMB_112444,2025-10-15
Moventis,1,AMB_112524,2025-10-13
Moventis,1,AMB_112524,2025-10-14
Moventis,1,AMB_112533,2025-10-13
Moventis,1,AMB_112533,2025-10-14
Soler i Sauret,1,AMB_200018,2025-10-13
Soler i Sauret,1,AMB_200018,2025-10-14
Soler i Sauret,1,AMB_200020,2025-10-13
Soler i Sauret,1,AMB_200020,2025-10-14
Soler i Sauret,1,AMB_200021,2025-10-13
Soler i Sauret,1,AMB_200021,2025-10-14
Soler i Sauret,1,AMB_200022,2025-10-13
Soler i Sauret,1,AMB_200022,2025-10-14
Soler i Sauret,1,AMB_200024,2025-10-13
Soler i Sauret,1,AMB_200024,2025-10-14
Soler i Sauret,1,AMB_200025,2025-10-13
Soler i Sauret,1,AMB_200025,2025-10-14
Soler i Sauret,1,AMB_200027,2025-10-13
Soler i Sauret,1,AMB_200027,2025-10-14
